postcode,lat,long
CA2 6JZ,54.882358,-2.969443
CR2 7JE,51.357232,-0.074692
RG1 3JG,51.45493,-0.956967
SK1 4NN,53.397698,-2.141312
LE10 0FR,52.535687,-1.376145
SL2 3NZ,51.552662,-0.611642
CF3 2NA,51.537088,-3.074284
DD3 6DT,56.468,-2.998
DH3 4LY,54.841891,-1.54467
YO19 6GA,53.896592,-0.960043
MK43 8GP,52.153342,-0.548846
NG34 9NS,52.98978,-0.360676
SA11 1UL,51.653723,-3.802134
LN11 7BS,53.371354,0.009443
ST19 9JD,52.680388,-2.167514
RG8 7DP,51.486091,-1.085906
W3 6PW,51.51442,-0.269441
M6 7AH,53.492875,-2.295745
EX1 2NG,50.724084,-3.511606
GL52 6DT,51.896564,-2.066251
EX14 9QY,50.879846,-3.129287
WF13 1LF,53.691033,-1.63039
CH7 3GB,53.1675,-3.066716
DL3 8AG,54.517349,-1.586208
GU52 6PW,51.261644,-0.841932
PE9 2DW,52.650733,-0.478004
S8 8RQ,53.341255,-1.476168
CW10 0GY,53.191225,-2.430415
PE8 4DG,52.482037,-0.474158
AB56 5AA,57.667146,-2.965854
CF62 4AG,51.400824,-3.439105
B5 7RU,52.453388,-1.909546
BS5 7EW,51.470307,-2.541805
EH42 1QL,55.989829,-2.500026
OX26 4XZ,51.902708,-1.138218
BS16 4RG,51.474127,-2.501982
DD8 4LY,56.724412,-2.991028
IP16 4BJ,52.205339,1.583449
TS1 3NN,54.567265,-1.235805
PA20 0JX,55.837071,-5.061226
PR3 1DX,53.903715,-2.78309
CA20 1NR,54.393476,-3.4835
G41 5JF,55.84573,-4.290424
SE19 2RH,51.413813,-0.077335
SW1P 4BQ,51.493795,-0.131846
BN23 5BB,50.800335,0.334712
RG27 9HQ,51.281789,-0.961108
G12 8LR,55.873135,-4.285932
BS41 9ET,51.433942,-2.656747
E8 3GQ,51.54486,-0.074888
ML2 9HS,55.791164,-3.885355
WA8 3YB,53.376911,-2.705294
DE45 1GT,53.217081,-1.688662
TN33 9DS,50.89786,0.450463
RH7 6EA,51.179393,-0.009441
EH16 5DP,55.933962,-3.165605
PL30 3PA,50.568509,-4.735683
BT15 2AS,54.611393,-5.929591
NN10 0NT,52.283704,-0.587427
PL9 9RB,50.35491,-4.111162
ST11 9ET,53.001516,-2.083642
B16 8LA,52.472404,-1.924376
BT30 7PG,54.325041,-5.552395
KY11 9YT,56.028751,-3.356192
SR4 7EH,54.904145,-1.39901
PR7 7EU,53.678821,-2.656207
CM7 4ES,51.962111,0.519041
PL17 8WA,50.505488,-4.302952
BA16 9QP,51.12385,-2.761464
LS28 7FH,53.801232,-1.688818
SS1 1NL,51.539296,0.708078
CV32 5RX,52.295872,-1.534581
SN14 0TL,51.458944,-2.145712
LN1 1XU,53.231414,-0.544265
LS4 2SN,53.812683,-1.587952
WA14 2LU,53.380932,-2.351434
WR3 8TB,52.239341,-2.17043
NE24 2TS,55.122987,-1.517958
LE13 0SY,52.777026,-0.901857
IP13 9SQ,52.22024,1.33938
DN17 1TL,53.577859,-0.676061
CB1 7TD,52.181795,0.143158
BT8 8PN,54.517478,-5.897374
LL12 9PD,53.113232,-3.031264
HP14 4QZ,51.663008,-0.770368
MK44 2DL,52.208733,-0.466824
OX4 4GN,51.724897,-1.229569
RH14 9EJ,50.997213,-0.443348
BH9 1NU,50.745637,-1.867597
WA4 6HJ,53.371885,-2.582161
ST5 1NR,53.005812,-2.217787
BS13 7HW,51.429998,-2.611322
SK14 1HU,53.447696,-2.080107
SA18 1DJ,51.805239,-3.920658
NP16 7HA,51.63557,-2.658182
B60 1GH,52.351,-2.038
LN10 6PD,53.150262,-0.227055
EX2 5WH,50.706225,-3.489165
NP18 1JG,51.60179,-2.94615
S10 2SE,53.377262,-1.496711
M21 9SN,53.446578,-2.282807
ML6 6NB,55.86991,-3.977764
NG7 2AY,52.955017,-1.181935
M30 0DD,53.482432,-2.338786
GU7 1LG,51.185969,-0.600223
PE9 3UJ,52.651696,-0.528602
ST19 5AL,52.724848,-2.116839
TR14 7QL,50.205515,-5.305201
HU7 3HD,53.79942,-0.336429
BS25 5QP,51.331202,-2.825811
G72 9BQ,55.798728,-4.087923
SA62 5SN,51.926576,-5.00122
PL14 3TE,50.458818,-4.452867
SY4 5XG,52.85384,-2.646974
DT6 4HN,50.712,-2.768
CT5 1PJ,51.356952,1.039474
NG10 3LN,52.887599,-1.302325
E14 6UN,51.517633,-0.017187
DY10 4SL,52.365356,-2.159636
EX1 1JD,50.724726,-3.525129
B49 6JP,52.256251,-1.821519
ST2 0PY,53.011921,-2.118822
TN37 6PB,50.865406,0.556576
CB8 8EP,52.243842,0.407026
PL17 7BG,50.503,-4.312632
WF3 2DZ,53.732793,-1.542272
LS23 6NN,53.904218,-1.360495
NN2 6JT,52.253873,-0.897344
B65 8QE,52.496188,-2.064781
CW5 6PW,53.067002,-2.480796
OL3 5ET,53.564211,-2.019936
WF9 5NH,53.629779,-1.376869
DN33 3EU,53.531708,-0.102643
LN5 5EZ,53.224064,-0.545233
ST16 3PL,52.81072,-2.102768
NN7 3DY,52.183869,-0.947344
BN22 8XP,50.777948,0.280217
HD1 3PR,53.637396,-1.788407
SK4 4RH,53.426327,-2.181212
RG7 4SG,51.388012,-1.205778
WD6 4AF,51.669094,-0.284475
BT32 3YF,54.354017,-6.278706
DE12 7FJ,52.688611,-1.532513
LN10 6SH,53.153257,-0.211543
HA3 7QD,51.59817,-0.325515
CV21 3SZ,52.371403,-1.250115
SM4 4JB,51.394028,-0.217195
ME8 9SA,51.343941,0.595332
GL5 3JZ,51.741075,-2.22959
SW15 6JB,51.463939,-0.229717
EX34 8NE,51.172985,-4.116819
BB1 1AQ,53.744592,-2.47863
SL6 8LD,51.540676,-0.700314
W10 4NW,51.528652,-0.205799
M25 1PZ,53.535936,-2.269477
WN7 4JY,53.489454,-2.531079
L39 1QJ,53.572244,-2.882569
IP32 6DG,52.259965,0.705904
B63 3AE,52.448225,-2.050306
RG45 6UA,51.38047,-0.789647
LE2 4FJ,52.602994,-1.063988
OX28 1FY,51.789759,-1.466965
ST18 9PZ,52.839828,-2.177911
BD5 0DB,53.789065,-1.761386
BA11 3RF,51.252729,-2.405643
MK42 0UH,52.112294,-0.434078
TR3 7LX,50.215157,-5.12437
L3 8DP,53.412717,-2.97108
SL3 3LN,51.508272,-0.584601
NR35 2JS,52.477708,1.430284
TR27 5AF,50.197486,-5.427234
AB55 5JL,57.494634,-3.032116
BL0 0NH,53.657266,-2.318428
L23 6YD,53.485711,-3.048357
BH1 3PU,50.723807,-1.856268
SW2 1PN,51.457507,-0.109859
EN9 3XU,51.677812,-0.005886
AL4 0EY,51.745641,-0.29805
DN21 5TH,53.399932,-0.572107
CH42 8PA,53.369016,-3.033901
RH1 6NL,51.22735,-0.189198
EH42 1UE,55.994237,-2.551415
BH5 1YH,50.727899,-1.86358
HG4 3QJ,54.172686,-1.707685
PO17 5EP,50.870581,-1.20208
LA13 9JF,54.12752,-3.211804
BA1 2AS,51.382611,-2.365534
FY4 3AJ,53.799076,-3.03961
PA7 5JF,55.909559,-4.50747
EX15 1JW,50.857234,-3.392624
DN14 5ES,53.703766,-0.867094
EC3M 1BD,51.510553,-0.084222
PO10 8QX,50.869533,-0.90049
NG23 6HL,53.120159,-0.814221
GL7 2BN,51.717102,-1.970728
SL6 2JD,51.488028,-0.721601
PA11 3QQ,55.862349,-4.573565
OX28 1DW,51.79048,-1.467116
BT6 8QP,54.584797,-5.906824
TW17 9HY,51.388629,-0.444174
SG5 3SE,51.996,-0.308
RG12 2UR,51.415791,-0.735121
CM3 6EG,51.680684,0.776233
BH24 2FU,50.817453,-1.815461
DT1 2JP,50.712057,-2.454109
B32 3PQ,52.437582,-2.009047
CR6 9FD,51.301311,-0.066763
NG18 4FS,53.130688,-1.179605
SE23 2QJ,51.432631,-0.043398
FY1 6BH,53.800595,-3.055013
RM10 9YA,51.535919,0.169882
LA4 5YJ,54.072577,-2.863854
CA2 7HX,54.897,-2.958
SA64 0JE,52.007287,-5.025799
SL3 7FF,51.502246,-0.570628
CM20 1EA,51.774768,0.090375
CF36 9BB,51.478992,-3.705978
NR34 0EP,52.49742,1.579738
NN8 1SN,52.308,-0.677
SE22 2EN,51.454245,-0.072905
S13 7BA,53.355,-1.393
HG3 3LZ,54.062339,-1.536412
LE3 6RE,52.643869,-1.173534
AB41 8JS,57.377285,-1.978615
IG11 9ST,51.534586,0.094838
BA11 1JW,51.225861,-2.321343
EX16 5NZ,50.893986,-3.494612
NR35 2RJ,52.475475,1.457286
SW20 8BQ,51.408242,-0.226405
HP12 3HR,51.628073,-0.765822
CF81 9DD,51.693218,-3.225046
PE12 6TX,52.802042,-0.024161
SG5 2AP,51.946081,-0.280884
SR3 1SA,54.890582,-1.411325
BS11 0US,51.494209,-2.659039
GU14 7NL,51.296653,-0.755423
B63 3XB,52.451527,-2.042776
SE10 8SY,51.473681,-0.011791
SS7 2DH,51.553,0.613
MK2 2NG,51.996655,-0.720625
LL18 3UW,53.326197,-3.462814
FK7 7LD,56.105456,-3.920587
LS18 5PY,53.842645,-1.63079
NW7 1LU,51.602271,-0.20804
NE48 3LQ,55.086571,-2.221299
OL16 3UU,53.618719,-2.111619
SL4 2PA,51.460587,-0.578119
NG2 6HG,52.91943,-1.11703
OL12 0QQ,53.624434,-2.159971
PE32 2BU,52.707757,0.69802
LS7 3EN,53.815128,-1.533919
HD2 2NW,53.666738,-1.795464
HA2 0WG,51.57279,-0.364804
W1U 5HG,51.521228,-0.151604
SL6 4FL,51.509146,-0.736083
KT14 6BY,51.336111,-0.509721
EC4N 8YB,51.524502,-0.112088
SO17 1PT,50.931719,-1.400043
PL14 3PW,50.426452,-4.419161
M15 6FL,53.465102,-2.242894
PL1 9SY,50.369582,-4.143005
PL19 9EQ,50.523658,-4.15012
SS7 3XY,51.558645,0.599389
M22 1UR,53.378281,-2.272222
PO18 8TQ,50.835786,-0.875338
BS48 3JN,51.412268,-2.738884
LS14 6XR,53.81866,-1.475298
N8 9NG,51.58166,-0.112217
CA28 9JQ,54.526373,-3.580583
DE12 7AR,52.67532,-1.54544
UB10 8PL,51.557896,-0.437136
SO18 4SF,50.919795,-1.357787
DE11 0AD,52.773277,-1.560829
WA10 1SH,53.453101,-2.736358
L36 1TQ,53.419693,-2.829103
BN26 6FE,50.822882,0.267809
EH13 9PJ,55.904557,-3.23523
W10 6BQ,51.523011,-0.214425
CA11 9DA,54.664888,-2.759899
OL14 6EF,53.728145,-2.052632
CA5 7HD,54.78,-2.997
BT12 7LB,54.594023,-5.983778
ST15 8UJ,52.919936,-2.133919
DA1 2BN,51.451054,0.213122
BA2 6PJ,51.384362,-2.357588
WN3 6EQ,53.522997,-2.669015
WR14 1XA,52.127818,-2.330353
BN2 6BE,50.838172,-0.077244
SE20 9BW,51.415205,-0.053708
BR5 2BA,51.383014,0.105212
CA14 4BY,54.641665,-3.539061
TN17 1EB,51.111191,0.455418
DN9 1EY,53.525334,-0.816422
W2 1QT,51.518044,-0.1705
BT82 8QD,54.760836,-7.397189
PL18 9BY,50.512677,-4.210543
PE15 5SZ,52.557904,0.090174
E10 7PG,51.56763,-0.036972
PR3 2QD,53.882844,-2.573462
